term,definition,explanation
Rotate,別のサイトに移動すること,日本語ではローテするというがその元の単語。
Rush,攻撃側がエリアに素早く突入するすること,単語自体は「急ぐ」という意味。敵に対応する余裕を与えないので意表をつける。
Safe plant,物などで隠れた場所に爆弾を設置すること,敵がどこからやってくるか分からない時は安全性を重視してカバーを取りつつ設置する。対義語: Open plant
Save,次のラウンドのために武器を保持すること,ほぼ負けが確定したラウンドでAWP（値段が高いスナイパー）を持っているプレイヤーなどがよくやる。サイトから離れ、できる限りキルされないように立ち回ること。
Smoke,視界を遮るための煙,スモークグレネードのこと。敵味方ともにスモークの中や奥を見ることができない。持続時間は15秒。
Split-push,攻撃側チームを2つ以上に分けて、同時に異なるルートからサイトへ攻撃すること,Split 「分割する」とPush「攻める」の組み合わせの単語。
Spray Control,連射時のリコイルを制御すること,sprayが「連射する」という意味。
Stack,複数のプレイヤーが同じ場所に留まること,「積む」という意味。プレイヤーを積む＝複数人で一定の箇所に居る というイメージで覚えやすいかも。
Swing,遮蔽物から姿を出すこと、あるいは遮蔽物から大きく姿を出すこと,peekと同じ意味で使われたり、遮蔽物から大きく姿を出す（wide peek）の意味で使われたりする。
T,攻撃側のチームあるいは攻撃側のチームがスポーンする方向の位置,Terrorist（テロリスト）の略。
TK,味方のプレイヤーを誤ってキルしてしまうこと,Team Kill（チームキル）の略。
Trade,味方が敵にキルされた直後に、その敵をキルすること,人数不利にならないようにする重要な戦術。
Utility,スモークグレネードやフラッシュバンなどの装備品のこと,略してutilと言うことが多い。
VAC,Counter-Strikeを作った会社のアンチチートシステム,「Valve Anti Cheat」の略。チートでBANされること。「Enjoy your VACation (vacation/休日)」などと言ってチーターを揶揄ったりする。
Wallbang,壁を通して敵を撃つこと,壁の材質によって喰らうダメージも異なる。
Whiff,有利な状況で銃弾を外してしまうこと,風・煙などのひと吹きを現す単語。ゴルフや野球では空振りを意味する。
